name,comm_code,census_year,population,occupied dwellings,persons per unit
RANCHLANDS,RAN,04/01/2003 12:00:00 AM,7926,2893,2.74
ACADIA,ACA,04/01/2000 12:00:00 AM,10723,4676,2.29
REDSTONE,RSN,04/01/2017 12:00:00 AM,3392,966,3.51
GLENDALE,GDL,04/01/1970 12:00:00 AM,3919,950,4.13
GLENBROOK,GBK,04/01/2002 12:00:00 AM,7080,3011,2.35
HIDDEN VALLEY,HID,04/01/1986 12:00:00 AM,0,0,0
GREENWOOD/GREENBRIAR,GRE,04/01/1997 12:00:00 AM,916,416,2.2
VARSITY,VAR,04/01/2012 12:00:00 AM,12200,5394,2.26
MONTGOMERY,MON,04/01/2001 12:00:00 AM,3909,1594,2.45
ACADIA,ACA,04/01/2012 12:00:00 AM,10705,4838,2.21
ASPEN WOODS,ASP,04/01/2002 12:00:00 AM,186,62,3
WOODBINE,WBN,04/01/2005 12:00:00 AM,9973,3293,3.03
FAIRVIEW,FAI,04/01/2009 12:00:00 AM,3598,1544,2.33
MIDNAPORE,MID,04/01/1989 12:00:00 AM,7677,2476,3.1
STRATHCONA PARK,STR,04/01/2012 12:00:00 AM,7033,2399,2.93
MARLBOROUGH PARK,MPK,04/01/1974 12:00:00 AM,1580,471,3.35
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/2010 12:00:00 AM,6029,2462,2.45
NORTH GLENMORE PARK,NGM,04/01/1975 12:00:00 AM,3420,931,3.67
CORNERSTONE,CNS,04/01/1990 12:00:00 AM,0,0,0
GLENDALE,GDL,04/01/1991 12:00:00 AM,2798,1065,2.63
VALLEY RIDGE,VAL,04/01/1985 12:00:00 AM,0,0,0
EVANSTON,EVN,04/01/1970 12:00:00 AM,0,0,0
NORTH HAVEN UPPER,NHU,04/01/1984 12:00:00 AM,858,245,3.5
PARKDALE,PKD,04/01/1988 12:00:00 AM,1714,806,2.13
BEDDINGTON HEIGHTS,BED,04/01/2013 12:00:00 AM,11814,4266,2.77
SPRUCE CLIFF,SPR,04/01/1983 12:00:00 AM,3146,1261,2.49
COUNTRY HILLS,COU,04/01/2006 12:00:00 AM,3705,1417,2.61
HILLHURST,HIL,04/01/1994 12:00:00 AM,4788,2414,1.98
BEL-AIRE,BEL,04/01/1999 12:00:00 AM,492,158,3.11
BRENTWOOD,BRE,04/01/1991 12:00:00 AM,6449,2512,2.57
RICHMOND,RIC,04/01/2013 12:00:00 AM,4388,2061,2.13
HAMPTONS,HAM,04/01/1989 12:00:00 AM,0,0,0
SCENIC ACRES,SCE,04/01/2000 12:00:00 AM,9401,2813,3.34
SUNNYSIDE,SSD,04/01/1986 12:00:00 AM,3462,2102,1.65
WOODBINE,WBN,04/01/1971 12:00:00 AM,53,16,3.31
BRITANNIA,BRT,04/01/1993 12:00:00 AM,766,319,2.4
COUGAR RIDGE,CGR,04/01/1991 12:00:00 AM,15,5,3
SAGE HILL,SGH,04/01/1992 12:00:00 AM,71,20,3.55
CHARLESWOOD/COLLINGWOOD,,04/01/1975 12:00:00 AM,8383,2363,3.55
RED CARPET,RED,04/01/1973 12:00:00 AM,383,113,3.39
PALLISER,PAL,04/01/2002 12:00:00 AM,3192,1602,1.99
DIAMOND COVE,DIA,04/01/1982 12:00:00 AM,0,0,0
GARRISON WOODS,GAW,04/01/1978 12:00:00 AM,0,0,0
SUNALTA,SNA,04/01/1975 12:00:00 AM,2833,1460,1.94
SPRUCE CLIFF,SPR,04/01/1977 12:00:00 AM,3506,1304,2.69
RENFREW,REN,04/01/1981 12:00:00 AM,6117,2613,2.34
RENFREW,REN,04/01/2013 12:00:00 AM,5963,3001,1.99
COPPERFIELD,CPF,04/01/1977 12:00:00 AM,0,0,0
OAKRIDGE,OAK,04/01/1971 12:00:00 AM,801,213,3.76
MANCHESTER,MAN,04/01/2008 12:00:00 AM,614,314,1.96
RUNDLE,RUN,04/01/2015 12:00:00 AM,11946,3727,3.21
MARLBOROUGH PARK,MPK,04/01/1981 12:00:00 AM,9614,2744,3.5
VARSITY,VAR,04/01/1975 12:00:00 AM,10630,2980,3.57
BAYVIEW,BYV,04/01/2011 12:00:00 AM,648,238,2.72
NORTH GLENMORE PARK,NGM,04/01/1994 12:00:00 AM,2524,976,2.59
DEER RUN,DRN,04/01/2016 12:00:00 AM,5182,2036,2.55
MCKENZIE TOWNE,MCT,04/01/2002 12:00:00 AM,3963,1573,2.52
RANCHLANDS,RAN,04/01/2004 12:00:00 AM,7741,2870,2.7
SADDLE RIDGE,SAD,04/01/1998 12:00:00 AM,138,40,3.45
EAU CLAIRE,EAU,04/01/1994 12:00:00 AM,820,493,1.66
CITADEL,CIT,04/01/2012 12:00:00 AM,10197,3414,2.99
CORAL SPRINGS,COR,04/01/2016 12:00:00 AM,5831,1531,3.81
PARKHILL,PKH,04/01/1973 12:00:00 AM,1573,575,2.74
SILVERADO,SVO,04/01/1991 12:00:00 AM,21,8,2.63
ACADIA,ACA,04/01/1985 12:00:00 AM,11005,4183,2.63
CHRISTIE PARK,CHR,04/01/1984 12:00:00 AM,21,9,2.33
BELTLINE,BLN,04/01/2001 12:00:00 AM,17554,10602,1.66
EDGEMONT,EDG,04/01/2016 12:00:00 AM,15708,5301,2.96
DOWNTOWN WEST END,DNW,04/01/1974 12:00:00 AM,668,389,1.72
DOVER,DOV,04/01/1999 12:00:00 AM,11331,4037,2.81
REDSTONE,RSN,04/01/2008 12:00:00 AM,0,0,0
COUNTRY HILLS,COU,04/01/2013 12:00:00 AM,3788,1405,2.7
DISCOVERY RIDGE,DIS,04/01/2002 12:00:00 AM,713,229,3.11
HUNTINGTON HILLS,HUN,04/01/2007 12:00:00 AM,13835,5390,2.57
RUNDLE,RUN,04/01/1972 12:00:00 AM,0,0,0
NORTH GLENMORE PARK,NGM,04/01/1972 12:00:00 AM,3595,919,3.91
CRANSTON,CRA,04/01/1996 12:00:00 AM,0,0,0
TUXEDO PARK,TUX,04/01/1985 12:00:00 AM,4170,2037,2.05
MACEWAN GLEN,MAC,04/01/1997 12:00:00 AM,5660,1759,3.22
ABBEYDALE,ABB,04/01/1969 12:00:00 AM,0,0,0
WOODBINE,WBN,04/01/2014 12:00:00 AM,9162,3320,2.76
WEST HILLHURST,WHL,04/01/1983 12:00:00 AM,5178,2328,2.22
SPRINGBANK HILL,SPH,04/01/1990 12:00:00 AM,0,0,0
CEDARBRAE,CED,04/01/1990 12:00:00 AM,6965,2273,3.06
HIGHLAND PARK,HPK,04/01/1997 12:00:00 AM,3668,1851,1.98
BOWNESS,BOW,04/01/2000 12:00:00 AM,11919,4957,2.4
CAPITOL HILL,CAP,04/01/2001 12:00:00 AM,3919,1988,1.97
POINT MCKAY,POI,04/01/1995 12:00:00 AM,1391,812,1.71
SAGE HILL,SGH,04/01/2011 12:00:00 AM,1425,546,2.61
SILVER SPRINGS,SIL,04/01/1992 12:00:00 AM,10419,3346,3.11
KINCORA,KCA,04/01/2014 12:00:00 AM,5398,1637,3.3
DEER RIDGE,DRG,04/01/2004 12:00:00 AM,4383,1445,3.03
SOUTHVIEW,SOV,04/01/2007 12:00:00 AM,2168,853,2.54
GLAMORGAN,GLA,04/01/2008 12:00:00 AM,6493,2880,2.25
MCKENZIE TOWNE,MCT,04/01/1981 12:00:00 AM,0,0,0
DISCOVERY RIDGE,DIS,04/01/2013 12:00:00 AM,4349,1602,2.71
EDGEMONT,EDG,04/01/1997 12:00:00 AM,15143,4538,3.34
CRANSTON,CRA,04/01/2002 12:00:00 AM,1094,411,2.66
LEGACY,LEG,04/01/1985 12:00:00 AM,0,0,0
DOVER,DOV,04/01/1997 12:00:00 AM,11452,4022,2.85
BEDDINGTON HEIGHTS,BED,04/01/1969 12:00:00 AM,0,0,0
CORNERSTONE,CNS,04/01/2001 12:00:00 AM,0,0,0
EVANSTON,EVN,04/01/1991 12:00:00 AM,11,3,3.67
CAMBRIAN HEIGHTS,CAM,04/01/1991 12:00:00 AM,2154,892,2.41
PARKHILL,PKH,04/01/1982 12:00:00 AM,1335,570,2.34
TUSCANY,TUS,04/01/1997 12:00:00 AM,646,236,2.74
BANKVIEW,BNK,04/01/1977 12:00:00 AM,5011,2568,1.95
CLIFF BUNGALOW,CLI,04/01/2006 12:00:00 AM,2049,1291,1.59
SHAGANAPPI,SHG,04/01/1984 12:00:00 AM,1655,752,2.2
DEER RUN,DRN,04/01/1988 12:00:00 AM,5978,1928,3.1
PATTERSON,PAT,04/01/2003 12:00:00 AM,4164,1825,2.28
HAYSBORO,HAY,04/01/1994 12:00:00 AM,6194,2759,2
WILDWOOD,WLD,04/01/1994 12:00:00 AM,2646,1034,2.56
MAPLE RIDGE,MPL,04/01/2002 12:00:00 AM,2115,805,2.63
MCKENZIE TOWNE,MCT,04/01/2010 12:00:00 AM,14702,5771,2.55
TEMPLE,TEM,04/01/2009 12:00:00 AM,10999,3497,3.15
NORTH HAVEN,NHV,04/01/1996 12:00:00 AM,2452,944,2.6
RED CARPET,RED,04/01/1969 12:00:00 AM,0,0,0
KELVIN GROVE,KEL,04/01/1979 12:00:00 AM,2359,755,3.12
STRATHCONA PARK,STR,04/01/1999 12:00:00 AM,5577,1802,3.09
HAMPTONS,HAM,04/01/2003 12:00:00 AM,7594,2249,3.38
DOWNTOWN WEST END,DNW,04/01/1986 12:00:00 AM,476,306,1.56
NORTH HAVEN UPPER,NHU,04/01/1991 12:00:00 AM,796,245,3.25
DOUGLASDALE/GLEN,DDG,04/01/1996 12:00:00 AM,6502,2226,2.92
GLENBROOK,GBK,04/01/1990 12:00:00 AM,7366,2859,2.58
EAU CLAIRE,EAU,04/01/1978 12:00:00 AM,188,86,2.19
MAHOGANY,MAH,04/01/2004 12:00:00 AM,15,9,1.67
WILLOW PARK,WIL,04/01/1993 12:00:00 AM,5852,2183,2.68
ROYAL OAK,ROY,04/01/1997 12:00:00 AM,68,24,2.83
ROSEDALE,RDL,04/01/1982 12:00:00 AM,1539,668,2.3
WEST HILLHURST,WHL,04/01/1974 12:00:00 AM,5795,2163,2.68
GREENWOOD/GREENBRIAR,GRE,04/01/1995 12:00:00 AM,911,417,2.18
MARLBOROUGH,MRL,04/01/1988 12:00:00 AM,9422,2953,3.19
TUSCANY,TUS,04/01/1988 12:00:00 AM,0,0,0
PARKLAND,PKL,04/01/1984 12:00:00 AM,4980,1343,3.71
TARADALE,TAR,04/01/1989 12:00:00 AM,1066,323,3.3
CRESTMONT,CRM,04/01/2016 12:00:00 AM,1538,476,3.23
APPLEWOOD PARK,APP,04/01/2007 12:00:00 AM,6066,1928,3.15
UNIVERSITY DISTRICT,UND,04/01/1976 12:00:00 AM,0,0,0
RAMSAY,RAM,04/01/1998 12:00:00 AM,2202,1053,2.09
KINGSLAND,KIN,04/01/1984 12:00:00 AM,4160,1958,2.12
RIVERBEND,RIV,04/01/1984 12:00:00 AM,1009,349,2.89
APPLEWOOD PARK,APP,04/01/2001 12:00:00 AM,5269,1435,3.67
MARLBOROUGH,MRL,04/01/2013 12:00:00 AM,8719,3009,2.9
BOWNESS,BOW,04/01/1980 12:00:00 AM,12899,4292,3.01
DIAMOND COVE,DIA,04/01/2006 12:00:00 AM,799,269,2.97
DOWNTOWN EAST VILLAGE,DNE,04/01/1985 12:00:00 AM,1058,589,1.8
SHAWNEE SLOPES,SHS,04/01/1994 12:00:00 AM,1431,469,3.05
MARLBOROUGH,MRL,04/01/1981 12:00:00 AM,9951,2902,3.43
BRITANNIA,BRT,04/01/1976 12:00:00 AM,957,320,2.99
RIDEAU PARK,RID,04/01/1977 12:00:00 AM,571,268,2.13
FOREST LAWN,FLN,04/01/1980 12:00:00 AM,8814,2828,3.12
CORNERSTONE,CNS,04/01/1987 12:00:00 AM,0,0,0
GLENDALE,GDL,04/01/1983 12:00:00 AM,2842,980,2.9
DOWNTOWN COMMERCIAL CORE,DNC,04/01/2008 12:00:00 AM,7887,4445,1.77
WILDWOOD,WLD,04/01/2006 12:00:00 AM,2621,1033,2.54
COVENTRY HILLS,COV,04/01/2010 12:00:00 AM,15726,5201,3.02
MAYFAIR,MAF,04/01/1984 12:00:00 AM,591,181,3.27
SADDLE RIDGE,SAD,04/01/1977 12:00:00 AM,282,75,3.76
ROSSCARROCK,RCK,04/01/2015 12:00:00 AM,3447,1529,2.25
BEDDINGTON HEIGHTS,BED,04/01/1984 12:00:00 AM,11925,3811,3.13
ROYAL OAK,ROY,04/01/1994 12:00:00 AM,58,25,2.32
CASTLERIDGE,CAS,04/01/2010 12:00:00 AM,5947,1791,3.32
CHINATOWN,CHN,04/01/2017 12:00:00 AM,2124,1436,1.48
WILLOW PARK,WIL,04/01/1977 12:00:00 AM,7289,2073,3.52
MAYFAIR,MAF,04/01/1981 12:00:00 AM,629,180,3.49
TUSCANY,TUS,04/01/1981 12:00:00 AM,0,0,0
GLENDALE,GDL,04/01/1981 12:00:00 AM,2923,967,3.02
MARLBOROUGH,MRL,04/01/1991 12:00:00 AM,9420,2983,3.16
EVANSTON,EVN,04/01/1999 12:00:00 AM,17,7,2.43
CITADEL,CIT,04/01/1992 12:00:00 AM,141,45,3.13
QUEENSLAND,QLD,04/01/1988 12:00:00 AM,6046,1785,3.39
PARKDALE,PKD,04/01/1985 12:00:00 AM,1815,799,2.27
WEST SPRINGS,WSP,04/01/1978 12:00:00 AM,0,0,0
DEER RUN,DRN,04/01/1995 12:00:00 AM,6471,2057,3.15
COVENTRY HILLS,COV,04/01/2012 12:00:00 AM,15969,5257,3.04
SUNNYSIDE,SSD,04/01/1994 12:00:00 AM,3556,2175,1.63
WESTGATE,WGT,04/01/1982 12:00:00 AM,3362,1091,3.08
FOREST HEIGHTS,FHT,04/01/1981 12:00:00 AM,6932,1926,3.6
MAYFAIR,MAF,04/01/1998 12:00:00 AM,573,185,3.1
WHITEHORN,WHI,04/01/2008 12:00:00 AM,11665,3478,3.35
CHAPARRAL,CHA,04/01/2007 12:00:00 AM,8896,2741,3.25
MOUNT PLEASANT,MOP,04/01/1985 12:00:00 AM,4329,2104,2.06
CITYSCAPE,CSC,04/01/1989 12:00:00 AM,0,0,0
RICHMOND,RIC,04/01/1972 12:00:00 AM,4640,1672,2.78
MCKENZIE LAKE,MCK,04/01/1993 12:00:00 AM,5184,1476,3.51
FAIRVIEW,FAI,04/01/1980 12:00:00 AM,4825,1545,3.12
LAKE BONAVISTA,LKB,04/01/1993 12:00:00 AM,11907,3639,3.27
MCKENZIE LAKE,MCK,04/01/2009 12:00:00 AM,14533,4586,3.17
QUEENS PARK VILLAGE,QPK,04/01/1997 12:00:00 AM,405,186,2.18
GREENWOOD/GREENBRIAR,GRE,04/01/2006 12:00:00 AM,983,481,2.04
PARKHILL,PKH,04/01/1999 12:00:00 AM,1518,740,2.05
DISCOVERY RIDGE,DIS,04/01/2009 12:00:00 AM,4286,1586,2.7
NEW BRIGHTON,NEB,04/01/1983 12:00:00 AM,0,0,0
TUXEDO PARK,TUX,04/01/1986 12:00:00 AM,4130,2031,2.03
ERIN WOODS,ERI,04/01/1990 12:00:00 AM,4227,1216,3.48
MEADOWLARK PARK,MEA,04/01/1979 12:00:00 AM,867,292,2.97
ELBOW PARK,EPK,04/01/1980 12:00:00 AM,3318,1162,2.86
CHINOOK PARK,CHK,04/01/1980 12:00:00 AM,1938,581,3.34
BELTLINE,BLN,04/01/1972 12:00:00 AM,14902,8141,1.83
CITYSCAPE,CSC,04/01/1992 12:00:00 AM,0,0,0
BAYVIEW,BYV,04/01/1993 12:00:00 AM,716,238,3.01
ROXBORO,ROX,04/01/1987 12:00:00 AM,435,163,2.67
VALLEY RIDGE,VAL,04/01/2004 12:00:00 AM,4182,1399,2.99
HUNTINGTON HILLS,HUN,04/01/2011 12:00:00 AM,13279,5327,2.49
PATTERSON,PAT,04/01/1992 12:00:00 AM,1459,695,2.1
GREENVIEW,GRV,04/01/1970 12:00:00 AM,1344,304,4.42
TEMPLE,TEM,04/01/1988 12:00:00 AM,11583,3387,3.42
CURRIE BARRACKS,CUR,04/01/2000 12:00:00 AM,133,,
PINERIDGE,PIN,04/01/2006 12:00:00 AM,9857,3699,2.66
SADDLE RIDGE,SAD,04/01/2014 12:00:00 AM,17775,4330,4.11
AUBURN BAY,AUB,04/01/2005 12:00:00 AM,0,0,0
COUGAR RIDGE,CGR,04/01/1995 12:00:00 AM,21,5,4.2
TARADALE,TAR,04/01/1970 12:00:00 AM,0,0,0
GLAMORGAN,GLA,04/01/2012 12:00:00 AM,6376,2858,2.23
NOLAN HILL,NOL,04/01/1977 12:00:00 AM,0,0,0
OGDEN,OGD,04/01/1988 12:00:00 AM,10642,3685,2.89
WEST HILLHURST,WHL,04/01/2001 12:00:00 AM,5401,2575,2.1
PENBROOKE MEADOWS,PEN,04/01/1975 12:00:00 AM,7844,2056,3.82
KELVIN GROVE,KEL,04/01/2013 12:00:00 AM,2421,884,2.74
HAWKWOOD,HAW,04/01/1971 12:00:00 AM,0,0,0
WALDEN,WAL,04/01/1988 12:00:00 AM,0,0,0
KELVIN GROVE,KEL,04/01/1968 12:00:00 AM,1905,403,4.73
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/1992 12:00:00 AM,6707,2346,2.86
BRIDLEWOOD,BRI,04/01/1999 12:00:00 AM,1662,585,2.84
CEDARBRAE,CED,04/01/1994 12:00:00 AM,6698,2281,2.94
CORNERSTONE,CNS,04/01/1974 12:00:00 AM,0,0,0
MARLBOROUGH,MRL,04/01/1987 12:00:00 AM,9311,2901,3.21
RUTLAND PARK,RUT,04/01/2008 12:00:00 AM,2270,948,2.39
RENFREW,REN,04/01/1978 12:00:00 AM,6005,2320,2.59
WILLOW PARK,WIL,04/01/1986 12:00:00 AM,6401,2206,2.9
GREENVIEW,GRV,04/01/2011 12:00:00 AM,1956,1034,1.89
SAGE HILL,SGH,04/01/1986 12:00:00 AM,0,0,0
HAWKWOOD,HAW,04/01/2010 12:00:00 AM,9989,3283,3.04
KINGSLAND,KIN,04/01/1993 12:00:00 AM,4083,2058,1.98
BRAESIDE,BRA,04/01/1972 12:00:00 AM,2294,565,4.06
WOODLANDS,WOO,04/01/2011 12:00:00 AM,6201,2336,2.65
HILLHURST,HIL,04/01/2008 12:00:00 AM,5333,2586,2.06
QUEENSLAND,QLD,04/01/1990 12:00:00 AM,5926,1786,3.32
WILDWOOD,WLD,04/01/1980 12:00:00 AM,3193,1052,3.04
MISSION,MIS,04/01/2012 12:00:00 AM,4325,3062,1.41
SETON,SET,04/01/1997 12:00:00 AM,0,0,0
DOWNTOWN EAST VILLAGE,DNE,04/01/1998 12:00:00 AM,1288,665,1.94
DOUGLASDALE/GLEN,DDG,04/01/1970 12:00:00 AM,0,0,0
OAKRIDGE,OAK,04/01/2002 12:00:00 AM,6382,2278,2.8
DALHOUSIE,DAL,04/01/2010 12:00:00 AM,8983,3602,2.49
ASPEN WOODS,ASP,04/01/1994 12:00:00 AM,0,0,0
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/1981 12:00:00 AM,6339,2098,3.02
LAKEVIEW,LKV,04/01/1971 12:00:00 AM,7994,1836,4.35
NORTH HAVEN UPPER,NHU,04/01/1978 12:00:00 AM,862,240,3.59
DIAMOND COVE,DIA,04/01/1986 12:00:00 AM,0,0,0
EVERGREEN,EVE,04/01/2003 12:00:00 AM,3833,1272,3.01
SETON,SET,04/01/1973 12:00:00 AM,0,0,0
WILLOW PARK,WIL,04/01/1969 12:00:00 AM,5532,1265,4.37
WILLOW PARK,WIL,04/01/1975 12:00:00 AM,7086,1904,3.72
ERLTON,ERL,04/01/1974 12:00:00 AM,835,330,2.53
SHAWNESSY,SHN,04/01/1999 12:00:00 AM,8432,2589,3.26
FALCONRIDGE,FAL,04/01/1990 12:00:00 AM,10420,3082,3.38
COUGAR RIDGE,CGR,04/01/1993 12:00:00 AM,19,6,3.17
HIGHLAND PARK,HPK,04/01/1981 12:00:00 AM,4079,1716,2.38
KINCORA,KCA,04/01/1988 12:00:00 AM,0,0,0
GREENVIEW,GRV,04/01/2005 12:00:00 AM,1941,1022,1.9
ELBOYA,EYA,04/01/1995 12:00:00 AM,1669,713,2.34
ALBERT PARK/RADISSON HEIGHTS,ALB,04/01/1994 12:00:00 AM,6349,2287,2.78
POINT MCKAY,POI,04/01/1977 12:00:00 AM,0,0,0
DEER RUN,DRN,04/01/2015 12:00:00 AM,5319,2087,2.55
SAGE HILL,SGH,04/01/2000 12:00:00 AM,81,25,3.24
RAMSAY,RAM,04/01/1969 12:00:00 AM,3005,1021,2.94
HUNTINGTON HILLS,HUN,04/01/2012 12:00:00 AM,13213,5348,2.47
LINCOLN PARK,LPK,04/01/1979 12:00:00 AM,34,4,8.5
MARLBOROUGH PARK,MPK,04/01/2015 12:00:00 AM,8878,3004,2.96
VISTA HEIGHTS,VIS,04/01/1974 12:00:00 AM,2221,574,3.87
LAKE BONAVISTA,LKB,04/01/1989 12:00:00 AM,11669,3352,3.48
MARTINDALE,MRT,04/01/1997 12:00:00 AM,5998,1927,3.11
COUGAR RIDGE,CGR,04/01/2002 12:00:00 AM,296,103,2.87
BANKVIEW,BNK,04/01/1984 12:00:00 AM,4744,2778,1.71
SCARBORO,SCA,04/01/1971 12:00:00 AM,1115,348,3.2
UNIVERSITY HEIGHTS,UNI,04/01/1968 12:00:00 AM,2588,711,3.64
WEST HILLHURST,WHL,04/01/1971 12:00:00 AM,6599,2174,3.04
LAKEVIEW,LKV,04/01/1996 12:00:00 AM,5747,2289,2.51
LOWER MOUNT ROYAL,LMR,04/01/1980 12:00:00 AM,2978,1822,1.63
FAIRVIEW,FAI,04/01/1968 12:00:00 AM,6425,1508,4.26
KELVIN GROVE,KEL,04/01/1989 12:00:00 AM,2178,845,2.58
APPLEWOOD PARK,APP,04/01/1997 12:00:00 AM,3933,1145,3.43
WINDSOR PARK,WND,04/01/2010 12:00:00 AM,3804,2242,1.7
OAKRIDGE,OAK,04/01/2001 12:00:00 AM,6486,2262,2.87
RENFREW,REN,04/01/1995 12:00:00 AM,5374,2628,2.04
NORTH GLENMORE PARK,NGM,04/01/1981 12:00:00 AM,2978,941,3.16
